module_order,module_notion_slug,module_notion_name,lesson_order,lesson_letter,lesson_name,evermind_idpage,bunny_video_id,notion_lesson_id
10,societe,"Module 10 — Société",2,B,"Les étapes de la création d'entreprise",3907109,,
10,societe,"Module 10 — Société",3,C,"Se rémunérer en tant que dirigeant",3907110,,
10,societe,"Module 10 — Société",4,D,"La comptabilité, le bilan et les résultats",3907111,,
10,societe,"Module 10 — Société",5,E,"L'imposition avantageuse en société",3907112,,
10,societe,"Module 10 — Société",6,F,"Salaire ou dividende : le match ultime !",3907113,,
11,montage-avance,"Module 11 — Montage avancé",1,A,"Les circulations d'argent à travers la holding",3907114,,
11,montage-avance,"Module 11 — Montage avancé",2,B,"Le démembrement pour faciliter la transmission",3907115,,
11,montage-avance,"Module 11 — Montage avancé",3,C,"Droit des successions et donations",3907116,,
11,montage-avance,"Module 11 — Montage avancé",4,D,"Régimes matrimoniaux au coeur de l'entreprise",3907117,,
12,astuces,"Module 12 — Astuces",1,A,"Aller plus loin dans la recherche de biens",3907118,,
12,astuces,"Module 12 — Astuces",2,B,"Une gestion 100% déléguée",3907119,,
12,astuces,"Module 12 — Astuces",3,C,"Adapter sa fiscalité en fonction de sa stratégie",3907120,,
12,astuces,"Module 12 — Astuces",4,D,"Les outils et leurs fonctionnement",4608000,,
13,faq-immobiliere,"Module 13 — FAQ immobilière",1,A,"Les réponses sur le financement et la banque",3907121,,
13,faq-immobiliere,"Module 13 — FAQ immobilière",2,B,"Plus de doutes sur les travaux et la location",3907122,,
13,faq-immobiliere,"Module 13 — FAQ immobilière",3,C,"Maîtriser parfaitement la fiscalité et les sociétés",3907123,,
14,bonus,"Module 14 — Bonus",1,A,"Trouver un associé pour enchainer en immo",3907124,,
14,bonus,"Module 14 — Bonus",2,B,"Vivre de la SCI à l'IS : mythe ou réalité ?",3907125,,
14,bonus,"Module 14 — Bonus",3,C,"Exemple de recherche de biens en LIVE",3907126,,
